Baby,Time,Duration,Note
"Baby One","10/01/2018 17:23","3 hrs 11 min",""
"Baby One","10/01/2018 20:34","2 hrs 20 min",""
"Baby One","11/01/2018 02:02","2 hrs 46 min",""
"Baby One","11/01/2018 05:01","49 min",""
"Baby One","11/01/2018 06:36","1 hr 9 min",""
"Baby One","11/01/2018 08:08","2 hrs 52 min",""
"Baby One","11/01/2018 12:04","2 hrs 41 min",""
"Baby One","11/01/2018 15:19","2 hrs 8 min",""
"Baby One","11/01/2018 17:49","2 hrs 40 min",""
"Baby One","11/01/2018 21:01","2 hrs",""
"Baby One","11/01/2018 23:30","3 hrs 8 min",""
"Baby One","12/01/2018 02:58","20 min",""
"Baby One","12/01/2018 03:33","1 hr 22 min",""
"Baby One","12/01/2018 05:24","1 hr 45 min",""
"Baby One","12/01/2018 07:28","2 hrs 27 min",""
"Baby One","12/01/2018 10:30","2 hrs 15 min",""
"Baby One","12/01/2018 13:15","10 min",""
"Baby One","12/01/2018 14:10","2 hrs 3 min",""
"Baby One","12/01/2018 16:37","3 hrs 23 min",""
"Baby One","12/01/2018 20:18","1 hr 4 min",""
"Baby One","12/01/2018 21:54","1 hr 19 min",""
"Baby One","13/01/2018 00:10","52 min",""
"Baby One","13/01/2018 01:18","11 min",""
"Baby One","13/01/2018 01:56","2 hrs 10 min",""
"Baby One","13/01/2018 04:20","2 hrs 35 min",""
"Baby One","13/01/2018 07:17","2 hrs 43 min",""
"Baby One","13/01/2018 10:26","2 hrs 45 min",""
"Baby One","13/01/2018 13:17","2 hrs 33 min",""
"Baby One","13/01/2018 16:16","2 hrs 49 min",""
"Baby One","13/01/2018 19:37","41 min",""
"Baby One","13/01/2018 21:29","49 min",""
"Baby One","13/01/2018 23:00","1 hr 25 min",""
"Baby One","14/01/2018 00:48","2 hrs 19 min",""
"Baby One","14/01/2018 03:28","1 hr 10 min",""
"Baby One","14/01/2018 04:55","1 hr 11 min",""
"Baby One","14/01/2018 06:37","2 hrs 13 min",""
"Baby One","14/01/2018 09:00","3 hrs",""
"Baby One","14/01/2018 12:46","3 hrs 14 min",""
"Baby One","14/01/2018 16:42","43 min",""
"Baby One","14/01/2018 17:46","2 hrs 26 min",""
"Baby One","14/01/2018 20:40","1 hr 12 min",""
"Baby One","14/01/2018 22:10","1 hr 34 min",""
"Baby One","15/01/2018 00:00","3 hrs 9 min",""
"Baby One","15/01/2018 03:40","1 hr 46 min",""
"Baby One","15/01/2018 05:50","1 hr 55 min",""
"Baby One","15/01/2018 08:04","1 hr 56 min",""
"Baby One","15/01/2018 11:04","3 hrs 19 min",""
"Baby One","15/01/2018 14:40","2 hrs 43 min",""
"Baby One","15/01/2018 16:40","40 min",""
"Baby One","15/01/2018 18:00","1 hr",""
"Baby One","15/01/2018 20:51","1 hr",""
"Baby One","15/01/2018 23:30","16 min",""
"Baby One","15/01/2018 23:57","23 min",""
"Baby One","16/01/2018 01:31","2 hrs 14 min",""
"Baby One","16/01/2018 04:11","2 hrs 29 min",""
"Baby One","16/01/2018 07:05","3 hrs 49 min",""
"Baby One","16/01/2018 11:27","2 hrs 33 min",""
"Baby One","16/01/2018 14:25","35 min",""
"Baby One","16/01/2018 15:49","2 hrs 56 min",""
"Baby One","16/01/2018 19:28","32 min",""
"Baby One","16/01/2018 20:50","2 hrs 40 min",""
"Baby One","16/01/2018 23:49","2 hrs 52 min",""
"Baby One","17/01/2018 03:13","2 hrs 52 min",""
"Baby One","17/01/2018 06:33","3 hrs 22 min",""
"Baby One","17/01/2018 11:03","57 min",""
"Baby One","17/01/2018 13:00","3 hrs 3 min",""
"Baby One","17/01/2018 16:37","1 hr 43 min",""
"Baby One","17/01/2018 18:30","30 min",""
"Baby One","17/01/2018 20:51","1 hr 19 min",""
"Baby One","17/01/2018 22:24","46 min",""
"Baby One","18/01/2018 00:04","2 hrs 36 min",""
"Baby One","18/01/2018 03:05","2 hrs 7 min",""
"Baby One","18/01/2018 05:36","3 hrs 14 min",""
"Baby One","18/01/2018 09:00","54 min",""
"Baby One","18/01/2018 11:00","1 hr 20 min",""
"Baby One","18/01/2018 12:29","2 hrs 16 min",""
"Baby One","18/01/2018 15:06","3 hrs 4 min",""
"Baby One","18/01/2018 18:26","1 hr 42 min",""
"Baby One","18/01/2018 20:38","27 min",""
"Baby One","18/01/2018 22:20","40 min",""
"Baby One","18/01/2018 23:42","2 hrs 48 min",""
"Baby One","19/01/2018 03:23","1 hr 52 min",""
"Baby One","19/01/2018 05:40","2 hrs 20 min",""
"Baby One","19/01/2018 08:12","2 hrs 6 min",""
"Baby One","19/01/2018 10:41","1 hr 19 min",""
"Baby One","19/01/2018 12:25","2 hrs 38 min",""
"Baby One","19/01/2018 15:24","2 hrs 21 min",""
"Baby One","19/01/2018 18:00","1 hr 49 min",""
"Baby One","19/01/2018 20:00","59 min",""
"Baby One","19/01/2018 21:37","58 min",""
"Baby One","19/01/2018 23:40","1 hr 20 min",""
"Baby One","20/01/2018 01:15","2 hrs 19 min",""
"Baby One","20/01/2018 04:04","2 hrs 26 min",""
"Baby One","20/01/2018 07:03","2 hrs 17 min",""
"Baby One","20/01/2018 09:58","1 hr 57 min",""
"Baby One","20/01/2018 12:32","2 hrs 3 min",""
"Baby One","20/01/2018 15:00","3 hrs",""
"Baby One","20/01/2018 18:36","18 min",""
"Baby One","20/01/2018 19:54","1 hr 15 min",""
"Baby One","20/01/2018 21:30","1 hr 9 min",""
"Baby One","20/01/2018 23:12","3 hrs 28 min",""
"Baby One","21/01/2018 03:36","1 hr 58 min",""
"Baby One","21/01/2018 06:07","2 hrs 33 min",""
"Baby One","21/01/2018 09:04","26 min",""
"Baby One","21/01/2018 10:02","1 hr 40 min",""
"Baby One","21/01/2018 11:55","1 hr 25 min",""
"Baby One","21/01/2018 13:46","1 hr 18 min",""
"Baby One","21/01/2018 15:43","12 min",""
"Baby One","21/01/2018 17:05","2 hrs 55 min",""
"Baby One","21/01/2018 20:15","14 min",""
"Baby One","21/01/2018 21:13","1 hr 57 min",""
"Baby One","21/01/2018 23:40","2 hrs 35 min",""
"Baby One","22/01/2018 02:40","10 min",""
"Baby One","22/01/2018 03:06","2 hrs 19 min",""
"Baby One","22/01/2018 06:25","2 hrs 31 min",""
"Baby One","22/01/2018 09:26","1 hr 54 min",""
"Baby One","22/01/2018 11:47","16 min",""
"Baby One","22/01/2018 13:01","54 min",""
"Baby One","22/01/2018 14:21","1 hr 19 min",""
"Baby One","22/01/2018 16:40","1 hr 59 min",""
